periods;team;rank_points
1;Belgium;1783.38
1;France;1757.3
1;England;1686.78
1;Portugal;1666.12
1;Spain;1648.13
1;Italy;1642.06
1;Denmark;1631.55
1;Germany;1609.12
1;Switzerland;1606.21
1;Croatia;1605.75
1;Netherlands;1598.04
1;Wales;1570.36
1;Sweden;1569.81
1;Poland;1549.87
1;Austria;1523.42
1;Ukraine;1514.64
1;Serbia;1512.9
1;Turkey;1505.05
1;Slovakia;1475.24
1;Hungary;1468.75
1;Russia;1462.65
1;Czech Republic;1458.81
1;Norway;1452.34
1;Romania;1449.23
1;Scotland;1441.43
1;Republic of Ireland;1427.22
1;Northern Ireland;1425.74
1;Greece;1418.7
1;Iceland;1415.99
1;Finland;1410.82
1;Bosnia-Herzegovina;1404.87
1;FYR Macedonia;1374.73
1;Slovenia;1369.88
1;Montenegro;1368.49
1;Albania;1362.09
1;Bulgaria;1339.03
1;Israel;1283.36
1;Belarus;1276.79
1;Armenia;1273.28
1;Georgia;1259.51
1;Luxembourg;1244.86
1;Cyprus;1240.78
1;Azerbaijan;1168.53
1;Estonia;1161.58
1;Kosovo;1151.73
1;Kazakhstan;1147.35
1;Lithuania;1102.84
1;Moldova;948.16
